ID,PIDM,PAM,PAV,SUM,PAM2,PAV2,SUM2,PAA_OP,GPA,Eficiencia_Terminal,Nivel_colegiatura_prepa
174662,144171,800,769,1569,771,727,1498,2,95.5,1,Medio
195494,166317,594,560,1154,0,0,0,1,86.16,1,Bajo
197221,168044,781,683,1464,0,0,0,1,92.74,1,Prepa UDEM
198072,168895,664,739,1403,0,0,0,1,83.57,1,Alto
198072,168895,664,739,1403,0,0,0,1,83.57,1,Alto
198350,169173,740,729,1469,0,0,0,1,90.45,1,Prepa UDEM
199548,170371,740,771,1511,0,0,0,1,93.47,1,Medio
199580,170403,699,661,1360,0,0,0,1,95.09,1,Prepa UDEM
200174,170997,551,550,1101,584,415,999,2,75.19,0,Alto
200174,170997,551,550,1101,584,415,999,2,75.19,0,Alto
200257,171080,605,529,1134,0,0,0,1,77.11,1,Alto
200257,171080,605,529,1134,0,0,0,1,77.11,1,Alto
200931,171754,729,518,1247,0,0,0,1,78,1,Alto
200931,171754,729,518,1247,0,0,0,1,78,1,Alto
200931,171754,729,518,1247,0,0,0,1,78,1,Alto
246528,217602,642,708,1350,0,0,0,1,85.26,1,Alto
258759,230606,605,706,1311,622,675,1297,2,90.8,1,Medio
272233,245269,612,541,1153,0,0,0,1,83.2,0,Medio
290672,263760,621,581,1202,679,511,1190,2,90.5,1,Medio
295801,269538,584,664,1248,0,0,0,1,94,1,Medio
296400,270139,792,800,1592,0,0,0,1,92,1,Bajo
309395,283167,742,539,1281,0,0,0,1,87.76,1,Prepa UDEM
310261,284037,686,560,1246,0,0,0,1,82.11,1,Prepa UDEM
312698,286508,762,771,1533,726,697,1423,2,92,1,Bajo
321311,294995,647,726,1373,0,0,0,1,93.91,1,Bajo
322052,295739,658,685,1343,0,0,0,1,83.47,0,Bajo
322718,296384,658,543,1201,0,0,0,1,83,1,Medio
322988,296654,653,571,1224,0,0,0,1,84.8,0,Prepa UDEM
323060,296726,588,624,1212,0,0,0,1,77.73,0,Alto
323060,296726,588,624,1212,0,0,0,1,77.73,0,Alto
323268,296934,718,718,1436,0,0,0,1,89.88,1,Bajo
323282,296948,721,778,1499,0,0,0,1,85.28,1,Alto
323282,296948,721,778,1499,0,0,0,1,85.28,1,Alto
323376,297042,675,613,1288,0,0,0,1,79.59,1,Prepa UDEM
324915,298575,660,647,1307,697,602,1299,2,88.05,1,Prepa UDEM
325284,298931,781,618,1399,0,0,0,1,84.88,1,Alto
327283,300907,686,602,1288,0,0,0,1,80.47,1,Prepa UDEM
328993,302679,729,613,1342,0,0,0,1,97.2,1,Prepa UDEM
329153,302840,521,591,1112,0,0,0,1,80.25,0,Bajo
332476,306188,700,674,1374,0,0,0,1,90,1,Bajo
332476,306188,700,674,1374,0,0,0,1,90,1,Bajo
333220,306955,584,498,1082,0,0,0,1,77.61,1,Alto
333220,306955,584,498,1082,0,0,0,1,77.61,1,Alto
335046,308801,637,498,1135,0,0,0,1,85,1,Medio
335459,309215,584,633,1217,0,0,0,1,90.4,1,Prepa UDEM
